,latitude,longitude
0,59.2823 ,10.33004
1,39.4803 ,-97.64928
2,55.611735 ,37.665831
3,29.961078 ,-81.340501
4,30.04479 ,-98.039313
5,27.557585 ,80.699477
6,50.422389 ,30.505906
8,40.393715 ,-3.676087
9,40.416024 ,-3.696213
11,36.718612 ,-4.496911
17,12.4989 ,124.6377
22,-12.763924 ,-40.969305
23,38.09032 ,-92.29267
24,14.18455 ,12.003467
25,41.311421 ,19.446037
29,14.718301 ,-17.27781
32,-13.716985 ,-76.205805
33,26.407384 ,93.25513
38,28.486359 ,-16.317929
39,41.648971 ,-4.713868
40,40.483359 ,-3.667923
41,59.927468 ,40.396485
44,40.927641 ,-8.572243
47,53.16667 ,-7.02121
49,43.045331 ,-9.246803
50,20.646389 ,-103.413621
52,40 ,-4
54,9.427095 ,49.002487
58,31.31517 ,-85.85522
59,41.76797 ,-76.442844
60,45.16667 ,15.5
62,38.009583 ,-3.369091
63,22 ,-102.5
64,44.432114 ,26.105103
65,36.713508 ,-4.432622
67,52.01991 ,-128.27791
69,9.598 ,138.1665
74,-34.623945 ,-58.427
76,55.857808 ,48.819654
78,48.877368 ,2.330422
79,48.829077 ,2.237703
81,40 ,-4
83,29.773333 ,-95.215543
84,50.985836 ,-0.273958
86,52.097217 ,5.0646
90,5.343059 ,-3.989415
93,2.384034 ,30.920685
95,50.106603 ,8.669371
96,52.845879 ,8.040395
97,42.83333 ,12.83333
98,32.793686 ,-97.407725
99,35.463688 ,-97.604454
100,28.136787 ,-16.670687
102,48.698425 ,9.165179
103,38.46806 ,106.27306
106,22.681197 ,75.879578
107,8.4115 ,-75.58508
108,55.835634 ,37.954136
109,38.46806 ,106.27306
110,14.571417 ,120.983441
111,30.60497 ,-87.898838
112,45.285795 ,-75.935494
113,43.83768 ,7.85849
117,13.791835 ,121.070425
118,12.936882 ,77.582079
120,8.5 ,-11.5
122,14.102352 ,122.843792
125,42.24568 ,-122.78865
126,52.514157 ,-2.077159
128,8.035032 ,-76.336075
132,29.961078 ,-81.340501
133,40.393715 ,-3.676087
135,36.718612 ,-4.496911
137,37.540601 ,-5.079589
138,12.4989 ,124.6377
140,40.483359 ,-3.667923
141,40 ,-4
142,48.181161 ,11.585906
143,38.345192 ,-0.527115
144,24.433143 ,90.496538
146,53.124575 ,8.711679
147,51.347247 ,9.462564
148,18.442154 ,-69.976878
149,50.480869 ,9.730465
150,9.145865 ,-79.617169
152,40.454179 ,-3.700284
156,12.4989 ,124.6377
157,54.155568 ,38.1775
160,40 ,-4
161,46.946512 ,7.434997
162,-7.437889 ,-70.028143
167,40.393715 ,-3.676087
172,38.683303 ,-9.342408
173,40 ,-4
174,40.483359 ,-3.667923
175,59.927468 ,40.396485
177,-15.244396 ,-40.24283
180,25.334561 ,55.392918
181,48.06572 ,11.614658
183,34.94957 ,-81.93205
186,8.5 ,-11.5
187,39.594915 ,2.673811
189,40.91534 ,-81.10593
190,-15.763386 ,-47.88108
194,40 ,-4
197,41.94514 ,25.07868
199,-26.828806 ,-65.208318
202,54.326624 ,10.105359
203,52.507568 ,13.391332
204,12.832143 ,80.223782
206,48.555132 ,12.743875
207,45.339841 ,-75.910723
208,29.961078 ,-81.340501
209,30.04479 ,-98.039313
211,52.498252 ,-2.002874
212,38.46806 ,106.27306
213,15.760691 ,43.686232
214,25.029422 ,-77.361956
215,43.569326 ,1.38676
216,33.588178 ,-100.217897
217,40.393715 ,-3.676087
218,40.416024 ,-3.696213
221,29.88628 ,-95.494941
222,40 ,-4
228,41.412355 ,2.197328
229,37.540601 ,-5.079589
230,12.4989 ,124.6377
235,25.029422 ,-77.361956
237,41.406739 ,2.132058
240,33.703837 ,72.978521
241,41.395942 ,2.149939
242,54.247107 ,-3.253915
243,39.78373 ,-100.445882
244,14.18455 ,12.003467
245,41.311421 ,19.446037
246,41.82046 ,1.86768
248,43.451896 ,-3.871985
250,18.833333 ,-98
251,43.599429 ,-116.21314
256,38.09032 ,-92.29267
257,40.445524 ,-3.656695
259,41.396587 ,2.15164
264,41.394306 ,2.152455
267,-36.846418 ,174.761639
269,-13.716985 ,-76.205805
270,52.171533 ,20.973048
273,45.154542 ,-64.398833
274,39.029027 ,-96.829684
276,51.450806 ,-1.047016
278,42.83333 ,12.83333
280,40 ,-4
284,28.486359 ,-16.317929
286,49.95972 ,11.91072
287,41.400178 ,2.191572
288,40.483359 ,-3.667923
289,33.374755 ,130.194511
293,-12.162391 ,-76.997239
295,40.927641 ,-8.572243
296,40 ,-4
297,40 ,-4
300,41.397742 ,2.200686
303,-15.244396 ,-40.24283
305,40 ,-4
308,41.396109 ,2.15224
309,34.51147 ,-110.079608
311,25.029422 ,-77.361956
313,45.786731 ,4.813551
314,40 ,-4
315,-37.7 ,145.18333
317,32 ,-6
318,5.26176 ,-0.75897
324,51.478049 ,-0.607207
326,-37.786167 ,144.8908
328,44.396444 ,-71.4396
331,41.382788 ,2.142822
336,40 ,-4
337,31.205963 ,16.583621
338,50.881401 ,4.28982
344,-20.463137 ,-41.414873
348,37.598532 ,-93.431586
349,41.395983 ,2.196867
351,-9.42547 ,147.111654
353,38.09032 ,-92.29267
354,31.31517 ,-85.85522
356,40.883642 ,0.804529
362,45.14914 ,11.82057
365,6.996299 ,-9.471709
371,48.849147 ,2.352669
373,8.5 ,-11.5
375,36.983414 ,-122.056168
376,47.269234 ,11.182966
378,50.857585 ,5.809624
380,49.711287 ,-54.059949
381,46.946512 ,7.434997
383,41.36169 ,-83.62299
384,25 ,45
385,38.46806 ,106.27306
388,4.25 ,-74.18333
394,41.689785 ,-73.022303
395,43.570125 ,17.874871
397,36.223189 ,43.992625
399,53.566578 ,9.965491
401,48.315259 ,14.305121
403,38.46806 ,106.27306
405,8.616696 ,-13.198092
407,49.170979 ,-66.334046
408,9.598 ,138.1665
410,44.632531 ,-93.371892
411,19.426399 ,-99.170338
412,50.451827 ,30.525852
416,-26.891587 ,-49.085871
418,41.135892 ,0.651719
419,42.392616 ,-71.259491
421,40.107509 ,-89.376854
423,47.451068 ,8.565125
425,51.465532 ,-0.213083
430,50.969546 ,-0.883874
433,-34.623945 ,-58.427
434,42.242865 ,-83.744346
436,55.857808 ,48.819654
438,49.51281 ,5.935415
439,48.829077 ,2.237703
440,52.504678 ,13.449021
441,-11.924823 ,-77.083473
443,38.750319 ,-91.966016
445,47.390891 ,8.055779
448,50.985836 ,-0.273958
450,40.62976 ,-91.31515
451,37.230614 ,-94.831904
452,48.841691 ,2.242722
455,47.796439 ,9.624863
458,48.034551 ,11.587031
460,48.864212 ,2.360936
464,26.493888 ,127.865372
465,47.23333 ,22.65
469,52.25 ,5.75
471,38.46806 ,106.27306
474,40 ,-4
476,36.704301 ,-80.574791
479,49.459294 ,9.889831
480,50.459621 ,3.929831
481,6.89359 ,80.596756
482,47.107771 ,-101.352449
484,46.263781 ,8.696755
488,-23.26536 ,-45.892858
494,-3.20333 ,-52.20639
497,23.504868 ,72.41884
498,47.449561 ,8.56496
503,33.5102 ,36.29128
504,8.5 ,-11.5
507,33.7208 ,-117.75168
508,40.558449 ,-8.413426
512,52.845879 ,8.040395
513,49.474632 ,8.509317
515,52.388861 ,9.749965
520,46.762732 ,-56.177695
522,38.46806 ,106.27306
526,52.079298 ,4.354722
529,48.944688 ,8.381103
535,35.679283 ,139.80956
538,53.540602 ,14.552663
539,36.168268 ,-86.779651
541,13.007822 ,77.564494
549,30.632654 ,-88.073234
550,-26.672146 ,153.096088
554,35.609479 ,140.305566
561,8.5 ,-11.5
567,34.23314 ,-102.41075
570,8.5 ,-11.5
575,37.942583 ,23.645261
576,13.042322 ,77.529426
581,13.16667 ,-59.53333
587,46 ,2
589,58.555202 ,26.712397
590,43.233655 ,-2.764133
591,-0.279479 ,-78.467519
593,53.785571 ,-3.046295
596,50.658549 ,6.694074
597,36.052257 ,-102.002399
599,22 ,-102.5
600,40 ,-4
603,51.537422 ,-0.061001
614,37.540601 ,-5.079589
615,42.83333 ,12.83333
622,49.60241 ,2.80102
625,60.165103 ,24.93999
626,49.459294 ,9.889831
628,46.263781 ,8.696755
634,8.5 ,-11.5
635,50.178288 ,8.918453
638,48.09918 ,-0.79292
641,43.36662 ,-5.86112
643,51.068049 ,13.779595
644,46.06085 ,13.23401
647,29.961078 ,-81.340501
649,36.718612 ,-4.496911
652,54.155568 ,38.1775
653,41.311421 ,19.446037
655,28.486359 ,-16.317929
656,41.648971 ,-4.713868
659,25.54389 ,-103.41898
661,8.5 ,-11.5
662,-7.437889 ,-70.028143
664,38.46806 ,106.27306
666,48.841691 ,2.242722
669,-38.65333 ,178.00417
674,-34.89478 ,-56.192477
676,40.91534 ,-81.10593
677,-15.763386 ,-47.88108
680,25 ,45
682,40 ,-4
685,-37.7 ,145.18333
686,41.94514 ,25.07868
687,45.5867 ,5.16286
689,-26.828806 ,-65.208318
692,54.326624 ,10.105359
693,18.596157 ,73.687473
694,52.507568 ,13.391332
695,12.832143 ,80.223782
697,48.555132 ,12.743875
698,45.339841 ,-75.910723
699,29.961078 ,-81.340501
700,30.04479 ,-98.039313
702,52.498252 ,-2.002874
703,38.46806 ,106.27306
704,15.760691 ,43.686232
705,47.852823 ,1.911113
706,43.569326 ,1.38676
707,33.588178 ,-100.217897
708,40.393715 ,-3.676087
709,40.416024 ,-3.696213
712,29.88628 ,-95.494941
713,40 ,-4
714,36.718612 ,-4.496911
721,41.412355 ,2.197328
722,37.540601 ,-5.079589
723,12.4989 ,124.6377
729,54.155568 ,38.1775
731,41.406739 ,2.132058
734,33.703837 ,72.978521
735,41.395942 ,2.149939
736,54.247107 ,-3.253915
737,38.09032 ,-92.29267
738,39.78373 ,-100.445882
739,14.18455 ,12.003467
740,41.311421 ,19.446037
741,41.82046 ,1.86768
743,43.451896 ,-3.871985
745,18.833333 ,-98
746,43.599429 ,-116.21314
751,38.09032 ,-92.29267
752,40.445524 ,-3.656695
754,41.396587 ,2.15164
760,41.394306 ,2.152455
761,41.611129 ,0.6272
764,-36.846418 ,174.761639
766,-13.716985 ,-76.205805
767,52.171533 ,20.973048
773,45.154542 ,-64.398833
774,39.029027 ,-96.829684
776,51.450806 ,-1.047016
778,42.83333 ,12.83333
781,40 ,-4
785,28.486359 ,-16.317929
787,49.95972 ,11.91072
788,41.400178 ,2.191572
789,40.483359 ,-3.667923
790,33.374755 ,130.194511
796,-12.162391 ,-76.997239
798,40.927641 ,-8.572243
799,40 ,-4
800,40 ,-4
803,41.397742 ,2.200686
806,-15.244396 ,-40.24283
809,40 ,-4
812,41.396109 ,2.15224
813,34.51147 ,-110.079608
817,45.786731 ,4.813551
818,40 ,-4
819,-37.7 ,145.18333
821,32 ,-6
822,5.26176 ,-0.75897
826,46.768653 ,17.655604
828,43.045331 ,-9.246803
830,51.478049 ,-0.607207
832,-37.786167 ,144.8908
833,44.843169 ,-93.440391
835,44.396444 ,-71.4396
838,41.382788 ,2.142822
840,43.597919 ,1.395703
845,40 ,-4
846,31.205963 ,16.583621
847,50.881401 ,4.28982
853,-20.463137 ,-41.414873
854,9.427095 ,49.002487
858,37.598532 ,-93.431586
859,41.395983 ,2.196867
861,-9.42547 ,147.111654
863,38.09032 ,-92.29267
864,31.31517 ,-85.85522
866,40.883642 ,0.804529
870,40 ,-4
874,51.068049 ,13.779595
876,45.14914 ,11.82057
878,48.16667 ,15.08333
880,6.996299 ,-9.471709
886,48.849147 ,2.352669
889,8.5 ,-11.5
891,36.983414 ,-122.056168
892,47.269234 ,11.182966
894,50.857585 ,5.809624
896,49.711287 ,-54.059949
897,46.946512 ,7.434997
899,38.46806 ,106.27306
900,41.36169 ,-83.62299
901,25 ,45
903,38.46806 ,106.27306
906,4.25 ,-74.18333
913,41.689785 ,-73.022303
914,43.570125 ,17.874871
916,36.223189 ,43.992625
918,53.566578 ,9.965491
920,48.315259 ,14.305121
922,38.46806 ,106.27306
924,8.616696 ,-13.198092
927,49.170979 ,-66.334046
928,44.375875 ,7.522388
929,-22.47 ,-43.82556
930,51.315348 ,9.539097
931,52.275113 ,-1.547099
932,9.598 ,138.1665
934,44.632531 ,-93.371892
935,19.426399 ,-99.170338
936,50.451827 ,30.525852
942,-26.891587 ,-49.085871
945,48.110578 ,11.450668
946,41.135892 ,0.651719
947,42.392616 ,-71.259491
949,40.107509 ,-89.376854
951,47.451068 ,8.565125
953,51.465532 ,-0.213083
955,-22.854586 ,-47.049094
959,50.969546 ,-0.883874
961,55.763682 ,37.642162
963,-34.623945 ,-58.427
964,42.242865 ,-83.744346
967,55.857808 ,48.819654
970,49.51281 ,5.935415
972,48.829077 ,2.237703
974,52.504678 ,13.449021
975,-11.924823 ,-77.083473
977,38.750319 ,-91.966016
980,38.46806 ,106.27306
981,47.390891 ,8.055779
984,50.985836 ,-0.273958
986,40.62976 ,-91.31515
987,37.230614 ,-94.831904
988,48.841691 ,2.242722
989,49.964436 ,11.603404
992,47.796439 ,9.624863
995,48.034551 ,11.587031
997,48.864212 ,2.360936
1001,26.493888 ,127.865372
1002,47.23333 ,22.65
1006,46.379475 ,11.106842
1007,52.25 ,5.75
1008,48.355657 ,9.915378
1010,38.46806 ,106.27306
1013,40 ,-4
1016,36.704301 ,-80.574791
1019,49.459294 ,9.889831
1021,50.459621 ,3.929831
1022,6.89359 ,80.596756
1023,47.107771 ,-101.352449
1025,46.263781 ,8.696755
1029,-23.26536 ,-45.892858
1035,-3.20333 ,-52.20639
1036,8.5 ,-11.5
1039,23.504868 ,72.41884
1040,47.449561 ,8.56496
1044,37.09784 ,41.4322
1048,33.5102 ,36.29128
1049,8.5 ,-11.5
1052,33.7208 ,-117.75168
1053,40.558449 ,-8.413426
1057,52.845879 ,8.040395
1058,49.474632 ,8.509317
1059,47.5253 ,18.993636
1060,52.854463 ,-119.246012
1062,52.388861 ,9.749965
1068,46.762732 ,-56.177695
1070,38.46806 ,106.27306
1075,41.695095 ,2.509612
1077,52.079298 ,4.354722
1079,30.893878 ,-82.692347
1081,48.944688 ,8.381103
1087,35.679283 ,139.80956
1088,55.835634 ,37.954136
1090,25.029422 ,-77.361956
1092,53.540602 ,14.552663
1093,48.190028 ,16.351035
1094,36.168268 ,-86.779651
1097,13.007822 ,77.564494
1106,30.632654 ,-88.073234
1108,-26.672146 ,153.096088
1113,35.609479 ,140.305566
1120,8.5 ,-11.5
1127,34.23314 ,-102.41075
1130,8.5 ,-11.5
1136,37.942583 ,23.645261
1137,13.042322 ,77.529426
1142,13.16667 ,-59.53333
1145,39.322584 ,-76.608112
1150,46 ,2
1152,58.555202 ,26.712397
1153,43.233655 ,-2.764133
1154,-0.279479 ,-78.467519
1156,53.785571 ,-3.046295
1160,50.658549 ,6.694074
1161,36.052257 ,-102.002399
1164,22 ,-102.5
1166,8.5 ,-11.5
1167,40 ,-4
1170,51.537422 ,-0.061001
1171,-2.91673 ,104.7458
1174,-34.57016 ,-58.450006
1184,40.393715 ,-3.676087
1186,29.88628 ,-95.494941
1187,36.718612 ,-4.496911
1191,54.155568 ,38.1775
1192,14.18455 ,12.003467
1195,44.693007 ,17.983485
1197,42.167285 ,-8.68226
1198,40 ,-4
1200,42.861517 ,-8.557433
1201,42.75508 ,-7.86621
1203,40 ,-4
1208,37.448582 ,-122.159292
1210,43.323658 ,-8.344107
1211,50.769652 ,34.328931
1214,-23.504454 ,-46.851127
1219,-37.7 ,145.18333
1220,52.845879 ,8.040395
1221,8.5 ,-11.5
1222,-38.65333 ,178.00417
1224,40.393715 ,-3.676087
1226,29.88628 ,-95.494941
1227,36.718612 ,-4.496911
1231,54.155568 ,38.1775
1232,14.18455 ,12.003467
1235,44.693007 ,17.983485
1237,42.167285 ,-8.68226
1238,40 ,-4
1240,42.861517 ,-8.557433
1241,42.75508 ,-7.86621
1243,40 ,-4
1248,37.448582 ,-122.159292
1250,43.323658 ,-8.344107
1251,50.769652 ,34.328931
1254,-23.504454 ,-46.851127
1259,-37.7 ,145.18333
1260,52.845879 ,8.040395
1261,8.5 ,-11.5
1262,-38.65333 ,178.00417
1266,41.394306 ,2.152455
1268,45.154542 ,-64.398833
1269,22 ,-102.5
1272,48.09918 ,-0.79292
1274,59.2823 ,10.33004
1275,39.64472 ,-94.73996
1277,43.262211 ,-2.929884
1278,38.010685 ,-3.369595
1279,32.382808 ,-98.979716
1280,41.94514 ,25.07868
1281,51.453635 ,7.009404
1282,32.60997 ,-110.765184
1283,45.5867 ,5.16286
1284,51.494938 ,7.283914
1285,50.943134 ,13.622803
1286,-26.828806 ,-65.208318
1287,12.890333 ,80.227979
1288,33.750038 ,-117.870493
1289,39.983052 ,-0.038647
1290,12.994539 ,77.708413
1293,46.729274 ,8.209899
1295,48.762973 ,2.309279
1296,45.532798 ,-122.903233
1297,52.507568 ,13.391332
1298,12.832143 ,80.223782
1299,12.9734 ,77.617014
1301,55.749285 ,37.534031
1302,37.782498 ,-122.391551
1303,48.775682 ,11.452402
1304,45.339841 ,-75.910723
1305,45.344021 ,-75.919586
1306,38.46806 ,106.27306
1307,14.553266 ,121.025769
1308,39.7511 ,-104.994634
1309,-34.544027 ,-58.47231
1310,29.961078 ,-81.340501
1313,37.367721 ,-121.918154
1314,45.525395 ,-122.685778
1315,30.04479 ,-98.039313
1316,53.380861 ,-2.222512
1317,45.279722 ,-95.689865
1318,43.645812 ,7.120973
1319,52.22663 ,21.044896
1320,52.498252 ,-2.002874
1321,44.280484 ,-69.914615
1322,45.324756 ,-75.835663
1323,47.135482 ,7.236732
1325,30.652175 ,-97.813532
